id,composer,composition,movement,ensemble,source,transcriber,catalog_name,seconds
1727,Schubert,Piano Quintet in A major,2. Andante,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,447
1728,Schubert,Piano Quintet in A major,3. Scherzo: Presto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,251
1729,Schubert,Piano Quintet in A major,4. Andantino - Allegretto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,444
1730,Schubert,Piano Quintet in A major,5. Allegro giusto,Piano Quintet,European Archive,http://tirolmusic.blogspot.com/,OP114,368
1739,Schubert,Piano Trio in B-flat major,4. Rondo. Allegro vivace,Piano Trio,European Archive,harfesoft.de,OP99,490
1742,Schubert,String Quintet in C major,2. Adagio,Viola Quintet,European Archive,harfesoft.de,OP163,924
1788,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,Museopen,Gunter R. Findenegg,K465,513
1789,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,Museopen,Gunter R. Findenegg,K465,461
1790,Mozart,String Quartet No 19 in C major,3. Menuetto. Allegro,String Quartet,Museopen,Gunter R. Findenegg,K465,323
1791,Mozart,String Quartet No 19 in C major,4. Allegro molto,String Quartet,Museopen,Gunter R. Findenegg,K465,351
1792,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,European Archive,Gunter R. Findenegg,K465,472
1793,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,European Archive,Gunter R. Findenegg,K465,504
1805,Mozart,String Quartet No 14 in G major,1. Allegro vivace assai,String Quartet,European Archive,Gunter R. Findenegg,K387,356
1807,Mozart,String Quartet No 14 in G major,3. Andante cantabile,String Quartet,European Archive,Gunter R. Findenegg,K387,444
1811,Mozart,Clarinet Quintet in A major,2. Larghetto,Clarinet Quintet,William McColl,Reinier B. Bakels,K581,489
1812,Mozart,Clarinet Quintet in A major,3. Menuetto,Clarinet Quintet,William McColl,Reinier B. Bakels,K581,466
1813,Mozart,Clarinet Quintet in A major,4. Allegretto con variazioni,Clarinet Quintet,William McColl,Reinier B. Bakels,K581,591
1817,Mozart,Serenade in E-flat major,2. Menuetto,Pairs Clarinet-Horn-Bassoon,Soni Ventorum Wind Quintet,Oliver Seely,K375,250
1818,Mozart,Serenade in E-flat major,3. Adagio,Pairs Clarinet-Horn-Bassoon,Soni Ventorum Wind Quintet,Oliver Seely,K375,407
1819,Mozart,Serenade in E-flat major,4. Menuetto,Pairs Clarinet-Horn-Bassoon,Soni Ventorum Wind Quintet,Oliver Seely,K375,177
1822,Mozart,String Quartet No 15 in D minor,1. Allegro moderato,String Quartet,Museopen,Gunter R. Findenegg,K421,460
1824,Mozart,String Quartet No 15 in D minor,3. Menuetto and Trio. Allegretto,String Quartet,Museopen,Gunter R. Findenegg,K421,252
1828,Mozart,Piano Trio No 4 in E major,2. Andante grazioso,Piano Trio,European Archive,Michael Iscenko,K542,265
1829,Mozart,Piano Trio No 4 in E major,3. Allegro,Piano Trio,European Archive,Michael Iscenko,K542,421
1835,Mozart,String Quartet No 23 in F major,3. Menuetto. Allegretto,String Quartet,European Archive,Gunter R. Findenegg,K590,236
1859,Mozart,String Quartet No 18 in A major,2. Menuetto and Trio,String Quartet,European Archive,Gunter R. Findenegg,K464,392
1872,Mozart,Piano Trio No 3 in B-flat major,2. Larghetto,Piano Trio,European Archive,Michael Iscenko,K502,509
1873,Mozart,Piano Trio No 3 in B-flat major,3. Allegretto,Piano Trio,European Archive,Michael Iscenko,K502,366
1876,Mozart,Piano Trio No2 in G major,2. Andante,Piano Trio,European Archive,Michael Iscenko,K496,356
1893,Mozart,Piano Trio No 6 in G major,3. Allegretto,Piano Trio,European Archive,Michael Iscenko,K564,325
1916,Dvorak,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,String Quartet,Museopen,Benjamin R. Tubb,OP51,675
1918,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,Museopen,Benjamin R. Tubb,OP51,367
1919,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,Museopen,Benjamin R. Tubb,OP51,434
1922,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,European Archive,Benjamin R. Tubb,OP51,402
1923,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,European Archive,Benjamin R. Tubb,OP51,393
1931,Dvorak,String Quartet No 12 in F major,2. Lento,String Quartet,Museopen,Masahiro Ishii,OP96,471
1932,Dvorak,String Quartet No 12 in F major,3. Molto vivace,String Quartet,Museopen,Masahiro Ishii,OP96,250
1933,Dvorak,String Quartet No 12 in F major,4. Finale: vivace ma non troppo,String Quartet,Museopen,Masahiro Ishii,OP96,351
2075,Cambini,Wind Quintet No 1 in B-flat Major,1. Allegro maestoso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,329
2076,Cambini,Wind Quintet No 1 in B-flat Major,2. Larghetto cantabile,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,247
2077,Cambini,Wind Quintet No 1 in B-flat Major,3. Rondo Allegretto grazioso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,250
2078,Cambini,Wind Quintet No 2 in D Minor,1. Allegro espressivo,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,355
2079,Cambini,Wind Quintet No 2 in D Minor,2. Larghetto sostenuto ma con moto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,278
2080,Cambini,Wind Quintet No 2 in D Minor,3. Presto ma non tanto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,233
2081,Cambini,Wind Quintet No 3 in F Major,1. Allegro maestoso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,299
2082,Cambini,Wind Quintet No 3 in F Major,2. Larghetto sostenuto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,341
2083,Cambini,Wind Quintet No 3 in F Major,3. Rondo Allegro con brio,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,245
2104,Haydn,Quartet No 53 in D major,1. Allegro moderato,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,371
2105,Haydn,Quartet No 53 in D major,2. Adagio - Cantabile,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,291
2106,Haydn,Quartet No 53 in D major,3. Menuetto: Allegretto,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,226
2112,Brahms,Cello Sonata No 1 in E minor,1. Allegro non troppo,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,897
2113,Brahms,Cello Sonata No 1 in E minor,2. Allegretto quasi Menuetto,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,352
2114,Brahms,Cello Sonata No 1 in E minor,3. Allegro,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,403
2116,Brahms,Clarinet Sonata No 1 in F minor,1. Allegro appassionato,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,410
2117,Brahms,Clarinet Sonata No 1 in F minor,2. Andante un poco Adagio,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,266
2118,Brahms,Clarinet Sonata No 1 in F minor,3. Allegretto grazioso,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,232
2119,Brahms,Clarinet Sonata No 1 in F minor,4. Vivace,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,294
2127,Brahms,Serenade No 1 in D Major,2. Scherzo. Allegro non troppo,Wind and Strings Octet,European Archive,Oliver Seely,OP11,518
2131,Brahms,Serenade No 1 in D Major,6. Rondo. Allegro,Wind and Strings Octet,European Archive,Oliver Seely,OP11,274
2138,Brahms,String Quartet in C minor,2. Romanze: Poco adagio,String Quartet,European Archive,harfesoft.de,OP51NO1,429
2140,Brahms,String Quartet in C minor,4. Allegro,String Quartet,European Archive,harfesoft.de,OP51NO1,381
2147,Brahms,String Sextet No 2 in G major,4. Poco allegro,String Sextet,European Archive,harfesoft.de,OP36,501
2148,Brahms,Piano Quartet No 1 in G minor,1. Allegro,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,822
2149,Brahms,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,476
2150,Brahms,Piano Quartet No 1 in G minor,3. Andante con moto,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,599
2151,Brahms,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,533
2154,Brahms,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,String Sextet,Carl Banner,harfesoft.de,OP18,894
2155,Brahms,String Sextet No 1 in B-flat major,"2. Andante, ma moderato",String Sextet,Carl Banner,harfesoft.de,OP18,606
2156,Brahms,String Sextet No 1 in B-flat major,3. Scherzo. Allegro molto,String Sextet,Carl Banner,harfesoft.de,OP18,192
2157,Brahms,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,String Sextet,Carl Banner,harfesoft.de,OP18,661
2158,Brahms,Horn Trio in E-flat major,1. Andante,Horn Piano Trio,European Archive,David Rothschild,OP40,482
2159,Brahms,Horn Trio in E-flat major,2. Scherzo (Allegro),Horn Piano Trio,European Archive,David Rothschild,OP40,466
2160,Brahms,Horn Trio in E-flat major,3. Adagio mesto,Horn Piano Trio,European Archive,David Rothschild,OP40,446
2161,Brahms,Horn Trio in E-flat major,4. Allegro con brio,Horn Piano Trio,European Archive,David Rothschild,OP40,397
2166,Faure,Piano Quartet No 2 in G minor,1. Allegro molto moderato,Piano Quartet,European Archive,Gregory Richardson,OP45,639
2167,Faure,Piano Quartet No 2 in G minor,2. Allegro molto,Piano Quartet,European Archive,Gregory Richardson,OP45,193
2168,Faure,Piano Quartet No 2 in G minor,3. Adagio non troppo,Piano Quartet,European Archive,Gregory Richardson,OP45,612
2169,Faure,Piano Quartet No 2 in G minor,4. Allegro molto,Piano Quartet,European Archive,Gregory Richardson,OP45,519
2177,Ravel,String Quartet in F,1. Allegro moderato - tres doux,String Quartet,Musicians from Marlboro,Gregory Richardson,35,490
2178,Ravel,String Quartet in F,2. Assez vif - tres rythme,String Quartet,Musicians from Marlboro,Gregory Richardson,35,355
2179,Ravel,String Quartet in F,3. Tres lent,String Quartet,Musicians from Marlboro,Gregory Richardson,35,505
2180,Ravel,String Quartet in F,4. Vif et agite,String Quartet,Musicians from Marlboro,Gregory Richardson,35,293
2282,Bach,Violin Sonata in B minor,1. Adagio,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,313
2283,Bach,Violin Sonata in B minor,2. Allegro,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,192
2284,Bach,Violin Sonata in B minor,3. Andante,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,227
2285,Bach,Violin Sonata in B minor,4. Allegro,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,225
2313,Beethoven,String Quartet No 15 in A minor,1. Allegro,String Quartet,European Archive,suzumedia,OP132,593
2314,Beethoven,String Quartet No 15 in A minor,2. Allegro ma non tanto,String Quartet,European Archive,suzumedia,OP132,568
2315,Beethoven,String Quartet No 15 in A minor,3. Molto Adagio; Andante,String Quartet,European Archive,suzumedia,OP132,1069
2318,Beethoven,Trio in E-flat major,1. Allegro moderato,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,641
2319,Beethoven,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,620
2320,Beethoven,Trio in E-flat major,3. Rondo: Allegro,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,222
2330,Beethoven,Violin Sonata No 1 in D major,1. Allegro con brio,Accompanied Violin,Timothy Jones,Darren L. Slider,OP12NO1,532
2334,Beethoven,Violin Sonata No 8 in G major,1. Allegro assai,Accompanied Violin,Edward Auer,suzumedia,OP30NO3,409
2335,Beethoven,Violin Sonata No 8 in G major,"2. Tempo di minuetto, ma molto moderato e grazioso",Accompanied Violin,Edward Auer,suzumedia,OP30NO3,422
2336,Beethoven,Violin Sonata No 8 in G major,3. Allegro vivace,Accompanied Violin,Edward Auer,suzumedia,OP30NO3,197
2341,Beethoven,Violin Sonata No 8 in G major,"2. Tempo di minuetto, ma molto moderato e grazioso",Accompanied Violin,European Archive,suzumedia,OP30NO3,460
2342,Beethoven,Violin Sonata No 8 in G major,3. Allegro vivace,Accompanied Violin,European Archive,suzumedia,OP30NO3,192
2365,Beethoven,String Quartet No 12 in E-flat major,1. Maestoso - Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,402
2366,Beethoven,String Quartet No 12 in E-flat major,"2. Adagio, ma non troppo e molto cantabile",String Quartet,Pascal String Quartet,suzumedia,OP127,941
2368,Beethoven,String Quartet No 12 in E-flat major,4. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,434
2376,Beethoven,String Quartet No 8 in E minor,1. Allegro,String Quartet,European Archive,suzumedia,OP59NO2,581
2377,Beethoven,String Quartet No 8 in E minor,2. Molto adagio,String Quartet,European Archive,suzumedia,OP59NO2,767
2379,Beethoven,String Quartet No 8 in E minor,"4. Finale, Presto, alla breve",String Quartet,European Archive,suzumedia,OP59NO2,334
2381,Beethoven,String Quartet No 13 in B-flat major,"1. Adagio, ma non troppo - Allegro",String Quartet,European Archive,suzumedia,OP130,560
2382,Beethoven,String Quartet No 13 in B-flat major,2. Presto,String Quartet,European Archive,suzumedia,OP130,117
2383,Beethoven,String Quartet No 13 in B-flat major,"3. Andante con moto, ma non troppo. Poco scherzoso",String Quartet,European Archive,suzumedia,OP130,383
2384,Beethoven,String Quartet No 13 in B-flat major,4. Alla danza tedesca. Allegro assai,String Quartet,European Archive,suzumedia,OP130,212
2397,Beethoven,Violin Sonata No 9 in A major,1. Adagio sostenuto - Presto,Accompanied Violin,Edward Auer,Darren L. Slider,OP47,623
2398,Beethoven,Violin Sonata No 9 in A major,2. Andante con variazioni,Accompanied Violin,Edward Auer,Darren L. Slider,OP47,910
2403,Beethoven,String Quartet No 1 in F Major,4. Allegro,String Quartet,European Archive,suzumedia,OP18NO1,358
2415,Beethoven,Sextet in E-flat major for Winds,2. Adagio,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,227
2416,Beethoven,Sextet in E-flat major for Winds,3. Menuetto. Quasi Allegretto - Trio,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,139
2417,Beethoven,Sextet in E-flat major for Winds,4. Rondo. Allegro,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,227
2420,Beethoven,Violin Sonata No 2 in A major,3. Allegro piacevole,Accompanied Violin,European Archive,Darren L. Slider,OP12NO2,236
2431,Beethoven,String Quartet No 16 in F major,1. Allegretto,String Quartet,European Archive,suzumedia,OP135,320
2432,Beethoven,String Quartet No 16 in F major,2. Vivace,String Quartet,European Archive,suzumedia,OP135,193
2433,Beethoven,String Quartet No 16 in F major,"3. Lento assai, cantante e tranquillo",String Quartet,European Archive,suzumedia,OP135,461
2451,Beethoven,String Quartet No 6 in B-flat major,2. Adagio ma non troppo,String Quartet,Museopen,suzumedia,OP18NO6,421
2462,Beethoven,Violin Sonata No 4 in A minor,"2. Andante scherzoso, piu allegretto",Accompanied Violin,European Archive,Darren L. Slider,OP23,489
2463,Beethoven,Violin Sonata No 4 in A minor,3. Allegro molto,Accompanied Violin,European Archive,Darren L. Slider,OP23,309
2466,Beethoven,Violin Sonata No 4 in A minor,3. Allegro molto,Accompanied Violin,European Archive,Darren L. Slider,OP23,305
2480,Beethoven,String Quartet No 5 in A major,1. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,395
2481,Beethoven,String Quartet No 5 in A major,2. Menuetto,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,354
2482,Beethoven,String Quartet No 5 in A major,3. Andante cantabile (Theme with variations,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,568
2483,Beethoven,String Quartet No 5 in A major,4. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,367
2494,Beethoven,String Quartet No 11 in F minor,1. Allegro con brio,String Quartet,Pascal String Quartet,suzumedia,OP95,297
2497,Beethoven,String Quartet No 11 in F minor,4. Larghetto espressivo; Allegretto agitato; Allegro,String Quartet,Pascal String Quartet,suzumedia,OP95,294
2501,Beethoven,Violin Sonata No 3 in E-flat major,2. Adagio con molta espressione,Accompanied Violin,Sayuri Yano,Darren L. Slider,OP12NO3,367
2502,Beethoven,Violin Sonata No 3 in E-flat major,3. Rondo: Allegro molto,Accompanied Violin,Sayuri Yano,Darren L. Slider,OP12NO3,267
2504,Beethoven,Octet in E-flat major for Winds,1. Allegro,Wind Octet,Soni Ventorum,Oliver Seely,OP103,460
2505,Beethoven,Octet in E-flat major for Winds,2. Andante,Wind Octet,Soni Ventorum,Oliver Seely,OP103,489
2506,Beethoven,Octet in E-flat major for Winds,3. Menuetto,Wind Octet,Soni Ventorum,Oliver Seely,OP103,187
2507,Beethoven,Octet in E-flat major for Winds,4. Presto,Wind Octet,Soni Ventorum,Oliver Seely,OP103,217
2521,Beethoven,Cello Sonata No 3 in A major,1. Allegro ma non tanto,Accompanied Cello,Hielko Ubels,suzumedia,OP69,751
2522,Beethoven,Cello Sonata No 3 in A major,2. Scherzo. Allegro molto,Accompanied Cello,Hielko Ubels,suzumedia,OP69,363
2523,Beethoven,Cello Sonata No 3 in A major,3. Adagio cantabile - Allegro vivace,Accompanied Cello,Hielko Ubels,suzumedia,OP69,558
2560,Beethoven,String Quartet No 2 in G major,2. Adagio cantabile - Allegro - Tempo I,String Quartet,Pascal String Quartet,suzumedia,OP18NO2,379
2562,Beethoven,String Quartet No 2 in G major,"4. Allegro molto, quasi presto",String Quartet,Pascal String Quartet,suzumedia,OP18NO2,330
2571,Beethoven,Violin Sonata No 7 in C minor,2. Adagio cantibile,Accompanied Violin,Chris Borovas,Darren L. Slider,OP30NO2,540
2586,Beethoven,Cello Sonata No 4 in C major,2. Adagio - Tempo d andante - Allegro vivace,Accompanied Cello,John Michel,suzumedia,OP102NO1,429
2621,Beethoven,String Quartet No 7 in F major,1. Allegro,String Quartet,European Archive,suzumedia,OP59NO1,648
2622,Beethoven,String Quartet No 7 in F major,2. Allegretto vivace e sempre scherzando,String Quartet,European Archive,suzumedia,OP59NO1,507
2626,Beethoven,Violin Sonata No 10 in G major,1. Allegro moderato,Accompanied Violin,Irrera Brothers,suzumedia,OP96,593
2627,Beethoven,Violin Sonata No 10 in G major,2. Adagio espressivo,Accompanied Violin,Irrera Brothers,suzumedia,OP96,323
2628,Beethoven,Violin Sonata No 10 in G major,3. Scherzo: Allegro - Trio,Accompanied Violin,Irrera Brothers,suzumedia,OP96,124
2629,Beethoven,Violin Sonata No 10 in G major,4. Poco allegretto,Accompanied Violin,Irrera Brothers,suzumedia,OP96,517
